file_name,class_id,confidence,point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,point4_x,point4_y
064442001.png,16,0.9754489,1139.90087890625,180.50376892089844,1426.889892578125,180.50376892089844,1426.889892578125,496.3278503417969,1139.90087890625,496.3278503417969
064442001.png,23,0.48226312,1139.99169921875,180.63259887695312,1427.50927734375,180.63259887695312,1427.50927734375,495.97314453125,1139.99169921875,495.97314453125
064442001.png,25,0.06034578,1139.99169921875,180.63259887695312,1427.50927734375,180.63259887695312,1427.50927734375,495.97314453125,1139.99169921875,495.97314453125
064507368.png,25,0.9977024,496.0028991699219,126.5771484375,753.229736328125,126.5771484375,753.229736328125,419.2110900878906,496.0028991699219,419.2110900878906
064507368.png,7,0.09979818,1047.03173828125,0.0,1247.4892578125,0.0,1247.4892578125,180.73849487304688,1047.03173828125,180.73849487304688
064507368.png,13,0.09089721,1052.2822265625,0.0,1244.220947265625,0.0,1244.220947265625,189.07032775878906,1052.2822265625,189.07032775878906
064507368.png,2,0.057644866,1049.8717041015625,0.0,1249.1771240234375,0.0,1249.1771240234375,195.1024169921875,1049.8717041015625,195.1024169921875
064507368.png,5,0.05268942,1049.8717041015625,0.0,1249.1771240234375,0.0,1249.1771240234375,195.1024169921875,1049.8717041015625,195.1024169921875
064507368.png,22,0.050934654,496.3171081542969,126.48482513427734,754.252197265625,126.48482513427734,754.252197265625,419.7362365722656,496.3171081542969,419.7362365722656
065131036.png,29,0.9850562,1109.5506591796875,55.750892639160156,1358.3323974609375,55.750892639160156,1358.3323974609375,310.67498779296875,1109.5506591796875,310.67498779296875
065131036.png,3,0.5054116,1107.4779052734375,55.81789016723633,1355.23046875,55.81789016723633,1355.23046875,313.5209045410156,1107.4779052734375,313.5209045410156
065131036.png,16,0.5017986,750.5723876953125,260.70916748046875,1174.3189697265625,260.70916748046875,1174.3189697265625,844.3504028320312,750.5723876953125,844.3504028320312
065131036.png,0,0.25172356,1109.7525634765625,56.052589416503906,1358.116455078125,56.052589416503906,1358.116455078125,313.29241943359375,1109.7525634765625,313.29241943359375
065131036.png,21,0.10235221,750.5723876953125,260.70916748046875,1174.3189697265625,260.70916748046875,1174.3189697265625,844.3504028320312,750.5723876953125,844.3504028320312
065131036.png,25,0.086510174,756.0333862304688,258.5631408691406,1175.019775390625,258.5631408691406,1175.019775390625,844.1072998046875,756.0333862304688,844.1072998046875
065131036.png,33,0.076377325,1108.8348388671875,56.79436492919922,1357.3896484375,56.79436492919922,1357.3896484375,313.6651916503906,1108.8348388671875,313.6651916503906
065147868.png,25,0.84903884,727.5965576171875,187.1345977783203,1008.9960327148438,187.1345977783203,1008.9960327148438,493.3394470214844,727.5965576171875,493.3394470214844
